state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
GU,PSI_09,Postoperative hemorrhage or hematoma rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_11,Postoperative respiratory failure rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_13,Postoperative sepsis rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
HI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,4,0,7,,04/01/2023,03/31/2025
HI,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,10,3,2,,07/01/2024,06/30/2025
HI,MORT_30_AMI,Death rate for heart attack patients,0,7,0,7,,07/01/2022,06/30/2025
HI,MORT_30_CABG,Death rate for CABG surgery patients,0,3,0,2,,07/01/2022,06/30/2025
HI,MORT_30_COPD,Death rate for COPD patients,0,6,0,9,,07/01/2022,06/30/2025
HI,MORT_30_HF,Death rate for heart failure patients,0,11,0,4,,07/01/2022,06/30/2025
HI,MORT_30_PN,Death rate for pneumonia patients,0,12,0,4,,07/01/2022,06/30/2025
HI,MORT_30_STK,Death rate for stroke patients,0,11,0,3,,07/01/2023,06/30/2025
HI,PSI_03,Pressure ulcer rate,2,10,0,0,,07/01/2022,06/30/2024
HI,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,6,0,5,,07/01/2022,06/30/2024
HI,PSI_06,Iatrogenic pneumothorax rate,1,11,0,0,,07/01/2022,06/30/2024
HI,PSI_08,In-hospital fall-associated fracture rate,0,12,0,0,,07/01/2022,06/30/2024
HI,PSI_09,Postoperative hemorrhage or hematoma rate,0,11,0,0,,07/01/2022,06/30/2024
HI,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,11,0,0,,07/01/2022,06/30/2024
HI,PSI_11,Postoperative respiratory failure rate,1,10,0,0,,07/01/2022,06/30/2024
HI,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,10,0,0,,07/01/2022,06/30/2024
HI,PSI_13,Postoperative sepsis rate,0,11,0,0,,07/01/2022,06/30/2024
HI,PSI_14,Postoperative wound dehiscence rate,0,11,0,0,,07/01/2022,06/30/2024
HI,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,11,0,0,,07/01/2022,06/30/2024
HI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,10,0,Not Available,,07/01/2022,06/30/2024
IA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,27,0,26,,04/01/2023,03/31/2025
