state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
NH,PSI_13,Postoperative sepsis rate,0,12,0,1,,07/01/2022,06/30/2024
NH,PSI_14,Postoperative wound dehiscence rate,0,12,0,1,,07/01/2022,06/30/2024
NH,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,13,0,0,,07/01/2022,06/30/2024
NH,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,12,0,Not Available,,07/01/2022,06/30/2024
NJ,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,29,0,28,,04/01/2023,03/31/2025
NJ,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,49,13,0,,07/01/2024,06/30/2025
NJ,MORT_30_AMI,Death rate for heart attack patients,0,56,0,8,,07/01/2022,06/30/2025
NJ,MORT_30_CABG,Death rate for CABG surgery patients,0,15,0,6,,07/01/2022,06/30/2025
NJ,MORT_30_COPD,Death rate for COPD patients,0,60,0,4,,07/01/2022,06/30/2025
NJ,MORT_30_HF,Death rate for heart failure patients,0,61,0,3,,07/01/2022,06/30/2025
NJ,MORT_30_PN,Death rate for pneumonia patients,0,61,2,1,,07/01/2022,06/30/2025
NJ,MORT_30_STK,Death rate for stroke patients,0,53,5,4,,07/01/2023,06/30/2025
NJ,PSI_03,Pressure ulcer rate,4,61,0,0,,07/01/2022,06/30/2024
NJ,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,45,1,15,,07/01/2022,06/30/2024
NJ,PSI_06,Iatrogenic pneumothorax rate,0,65,0,0,,07/01/2022,06/30/2024
NJ,PSI_08,In-hospital fall-associated fracture rate,0,65,0,0,,07/01/2022,06/30/2024
NJ,PSI_09,Postoperative hemorrhage or hematoma rate,0,64,0,1,,07/01/2022,06/30/2024
NJ,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,54,0,9,,07/01/2022,06/30/2024
NJ,PSI_11,Postoperative respiratory failure rate,2,51,2,9,,07/01/2022,06/30/2024
NJ,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3,61,0,1,,07/01/2022,06/30/2024
NJ,PSI_13,Postoperative sepsis rate,1,52,1,10,,07/01/2022,06/30/2024
NJ,PSI_14,Postoperative wound dehiscence rate,0,59,0,5,,07/01/2022,06/30/2024
NJ,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,63,0,2,,07/01/2022,06/30/2024
NJ,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,57,4,Not Available,,07/01/2022,06/30/2024
NM,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,8,0,18,,04/01/2023,03/31/2025
NM,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3,35,1,0,,07/01/2024,06/30/2025
NM,MORT_30_AMI,Death rate for heart attack patients,0,12,0,22,,07/01/2022,06/30/2025
NM,MORT_30_CABG,Death rate for CABG surgery patients,0,4,0,1,,07/01/2022,06/30/2025
NM,MORT_30_COPD,Death rate for COPD patients,0,14,0,29,,07/01/2022,06/30/2025
NM,MORT_30_HF,Death rate for heart failure patients,0,27,0,16,,07/01/2022,06/30/2025
NM,MORT_30_PN,Death rate for pneumonia patients,0,36,0,7,,07/01/2022,06/30/2025
NM,MORT_30_STK,Death rate for stroke patients,0,16,0,23,,07/01/2023,06/30/2025
NM,PSI_03,Pressure ulcer rate,5,25,0,0,,07/01/2022,06/30/2024
NM,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,7,0,14,,07/01/2022,06/30/2024
NM,PSI_06,Iatrogenic pneumothorax rate,0,30,0,0,,07/01/2022,06/30/2024
NM,PSI_08,In-hospital fall-associated fracture rate,0,30,0,0,,07/01/2022,06/30/2024
NM,PSI_09,Postoperative hemorrhage or hematoma rate,0,23,0,4,,07/01/2022,06/30/2024
NM,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,17,0,4,,07/01/2022,06/30/2024
NM,PSI_11,Postoperative respiratory failure rate,1,16,0,5,,07/01/2022,06/30/2024
NM,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,22,0,4,,07/01/2022,06/30/2024
NM,PSI_13,Postoperative sepsis rate,0,16,0,5,,07/01/2022,06/30/2024
NM,PSI_14,Postoperative wound dehiscence rate,0,19,0,7,,07/01/2022,06/30/2024
NM,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,24,0,4,,07/01/2022,06/30/2024
NM,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,5,22,0,Not Available,,07/01/2022,06/30/2024
NV,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,14,0,10,,04/01/2023,03/31/2025
NV,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,4,30,0,3,,07/01/2024,06/30/2025
NV,MORT_30_AMI,Death rate for heart attack patients,0,19,0,15,,07/01/2022,06/30/2025
NV,MORT_30_CABG,Death rate for CABG surgery patients,0,10,0,4,,07/01/2022,06/30/2025
NV,MORT_30_COPD,Death rate for COPD patients,0,27,0,10,,07/01/2022,06/30/2025
NV,MORT_30_HF,Death rate for heart failure patients,0,24,2,10,,07/01/2022,06/30/2025
NV,MORT_30_PN,Death rate for pneumonia patients,1,29,0,7,,07/01/2022,06/30/2025
NV,MORT_30_STK,Death rate for stroke patients,0,19,0,8,,07/01/2023,06/30/2025
NV,PSI_03,Pressure ulcer rate,0,22,2,0,,07/01/2022,06/30/2024
NV,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,15,1,5,,07/01/2022,06/30/2024
NV,PSI_06,Iatrogenic pneumothorax rate,0,24,0,0,,07/01/2022,06/30/2024
NV,PSI_08,In-hospital fall-associated fracture rate,0,24,0,0,,07/01/2022,06/30/2024
NV,PSI_09,Postoperative hemorrhage or hematoma rate,1,21,0,0,,07/01/2022,06/30/2024
NV,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,21,0,1,,07/01/2022,06/30/2024
NV,PSI_11,Postoperative respiratory failure rate,1,21,0,0,,07/01/2022,06/30/2024
NV,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,22,0,0,,07/01/2022,06/30/2024
NV,PSI_13,Postoperative sepsis rate,1,20,0,1,,07/01/2022,06/30/2024
NV,PSI_14,Postoperative wound dehiscence rate,0,21,0,1,,07/01/2022,06/30/2024
NV,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,22,0,0,,07/01/2022,06/30/2024
NV,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,22,0,Not Available,,07/01/2022,06/30/2024
NY,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,90,1,41,,04/01/2023,03/31/2025
NY,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,10,117,29,3,,07/01/2024,06/30/2025
NY,MORT_30_AMI,Death rate for heart attack patients,0,87,1,65,,07/01/2022,06/30/2025
NY,MORT_30_CABG,Death rate for CABG surgery patients,0,29,1,6,,07/01/2022,06/30/2025
NY,MORT_30_COPD,Death rate for COPD patients,0,121,2,40,,07/01/2022,06/30/2025
NY,MORT_30_HF,Death rate for heart failure patients,0,137,7,18,,07/01/2022,06/30/2025
NY,MORT_30_PN,Death rate for pneumonia patients,3,143,8,9,,07/01/2022,06/30/2025
NY,MORT_30_STK,Death rate for stroke patients,1,99,10,34,,07/01/2023,06/30/2025
NY,PSI_03,Pressure ulcer rate,23,112,4,0,,07/01/2022,06/30/2024
NY,PSI_04,Death rate among surgical inpatients with serious treatable complications,4,69,2,51,,07/01/2022,06/30/2024
NY,PSI_06,Iatrogenic pneumothorax rate,0,139,0,1,,07/01/2022,06/30/2024
NY,PSI_08,In-hospital fall-associated fracture rate,1,137,1,1,,07/01/2022,06/30/2024
NY,PSI_09,Postoperative hemorrhage or hematoma rate,3,128,1,3,,07/01/2022,06/30/2024
NY,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,110,1,22,,07/01/2022,06/30/2024
NY,PSI_11,Postoperative respiratory failure rate,4,104,3,22,,07/01/2022,06/30/2024
NY,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,4,126,2,3,,07/01/2022,06/30/2024
NY,PSI_13,Postoperative sepsis rate,2,107,2,21,,07/01/2022,06/30/2024
NY,PSI_14,Postoperative wound dehiscence rate,0,116,0,17,,07/01/2022,06/30/2024
NY,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,129,1,3,,07/01/2022,06/30/2024
NY,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,20,110,4,Not Available,,07/01/2022,06/30/2024
OH,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,66,0,63,,04/01/2023,03/31/2025
OH,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,11,126,14,4,,07/01/2024,06/30/2025
OH,MORT_30_AMI,Death rate for heart attack patients,0,79,1,55,,07/01/2022,06/30/2025
OH,MORT_30_CABG,Death rate for CABG surgery patients,0,38,0,10,,07/01/2022,06/30/2025
OH,MORT_30_COPD,Death rate for COPD patients,0,121,0,29,,07/01/2022,06/30/2025
OH,MORT_30_HF,Death rate for heart failure patients,0,126,3,19,,07/01/2022,06/30/2025
OH,MORT_30_PN,Death rate for pneumonia patients,0,136,5,10,,07/01/2022,06/30/2025
OH,MORT_30_STK,Death rate for stroke patients,0,88,6,44,,07/01/2023,06/30/2025
OH,PSI_03,Pressure ulcer rate,7,114,2,0,,07/01/2022,06/30/2024
OH,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,56,2,46,,07/01/2022,06/30/2024
OH,PSI_06,Iatrogenic pneumothorax rate,0,123,0,0,,07/01/2022,06/30/2024
OH,PSI_08,In-hospital fall-associated fracture rate,0,123,0,0,,07/01/2022,06/30/2024
OH,PSI_09,Postoperative hemorrhage or hematoma rate,0,118,0,1,,07/01/2022,06/30/2024
OH,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,107,0,10,,07/01/2022,06/30/2024
OH,PSI_11,Postoperative respiratory failure rate,3,103,2,10,,07/01/2022,06/30/2024
OH,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,117,0,1,,07/01/2022,06/30/2024
OH,PSI_13,Postoperative sepsis rate,1,101,2,14,,07/01/2022,06/30/2024
OH,PSI_14,Postoperative wound dehiscence rate,0,101,0,16,,07/01/2022,06/30/2024
OH,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,114,0,4,,07/01/2022,06/30/2024
OH,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,9,105,4,Not Available,,07/01/2022,06/30/2024
OK,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,33,0,25,,04/01/2023,03/31/2025
OK,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,8,92,2,14,,07/01/2024,06/30/2025
OK,MORT_30_AMI,Death rate for heart attack patients,0,27,0,31,,07/01/2022,06/30/2025
OK,MORT_30_CABG,Death rate for CABG surgery patients,1,8,0,4,,07/01/2022,06/30/2025
OK,MORT_30_COPD,Death rate for COPD patients,0,45,0,65,,07/01/2022,06/30/2025
OK,MORT_30_HF,Death rate for heart failure patients,0,56,0,54,,07/01/2022,06/30/2025
OK,MORT_30_PN,Death rate for pneumonia patients,2,74,0,38,,07/01/2022,06/30/2025
OK,MORT_30_STK,Death rate for stroke patients,1,33,0,42,,07/01/2023,06/30/2025
OK,PSI_03,Pressure ulcer rate,2,75,1,2,,07/01/2022,06/30/2024
OK,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,24,0,19,,07/01/2022,06/30/2024
OK,PSI_06,Iatrogenic pneumothorax rate,1,78,0,2,,07/01/2022,06/30/2024
OK,PSI_08,In-hospital fall-associated fracture rate,1,78,0,2,,07/01/2022,06/30/2024
OK,PSI_09,Postoperative hemorrhage or hematoma rate,1,57,0,10,,07/01/2022,06/30/2024
OK,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,50,0,12,,07/01/2022,06/30/2024
OK,PSI_11,Postoperative respiratory failure rate,3,47,0,13,,07/01/2022,06/30/2024
OK,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2,56,0,10,,07/01/2022,06/30/2024
OK,PSI_13,Postoperative sepsis rate,1,49,0,12,,07/01/2022,06/30/2024
OK,PSI_14,Postoperative wound dehiscence rate,0,48,0,12,,07/01/2022,06/30/2024
OK,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,55,0,9,,07/01/2022,06/30/2024
OK,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,60,0,Not Available,,07/01/2022,06/30/2024
OR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,20,0,26,,04/01/2023,03/31/2025
OR,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,5,48,3,2,,07/01/2024,06/30/2025
OR,MORT_30_AMI,Death rate for heart attack patients,0,27,0,25,,07/01/2022,06/30/2025
OR,MORT_30_CABG,Death rate for CABG surgery patients,0,10,0,1,,07/01/2022,06/30/2025
OR,MORT_30_COPD,Death rate for COPD patients,3,33,0,23,,07/01/2022,06/30/2025
OR,MORT_30_HF,Death rate for heart failure patients,1,46,0,12,,07/01/2022,06/30/2025
OR,MORT_30_PN,Death rate for pneumonia patients,0,53,1,5,,07/01/2022,06/30/2025
OR,MORT_30_STK,Death rate for stroke patients,0,38,0,18,,07/01/2023,06/30/2025
OR,PSI_03,Pressure ulcer rate,3,31,0,0,,07/01/2022,06/30/2024
OR,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,15,0,15,,07/01/2022,06/30/2024
OR,PSI_06,Iatrogenic pneumothorax rate,0,34,0,0,,07/01/2022,06/30/2024
OR,PSI_08,In-hospital fall-associated fracture rate,0,34,0,0,,07/01/2022,06/30/2024
OR,PSI_09,Postoperative hemorrhage or hematoma rate,0,33,0,0,,07/01/2022,06/30/2024
OR,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,31,0,2,,07/01/2022,06/30/2024
OR,PSI_11,Postoperative respiratory failure rate,1,29,0,3,,07/01/2022,06/30/2024
OR,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,32,0,0,,07/01/2022,06/30/2024
OR,PSI_13,Postoperative sepsis rate,0,30,0,3,,07/01/2022,06/30/2024
OR,PSI_14,Postoperative wound dehiscence rate,0,30,0,3,,07/01/2022,06/30/2024
OR,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,33,0,0,,07/01/2022,06/30/2024
OR,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,28,2,Not Available,,07/01/2022,06/30/2024
PA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,81,0,46,,04/01/2023,03/31/2025
PA,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,8,117,28,4,,07/01/2024,06/30/2025
PA,MORT_30_AMI,Death rate for heart attack patients,0,92,0,49,,07/01/2022,06/30/2025
PA,MORT_30_CABG,Death rate for CABG surgery patients,0,44,0,7,,07/01/2022,06/30/2025
PA,MORT_30_COPD,Death rate for COPD patients,0,111,0,39,,07/01/2022,06/30/2025
PA,MORT_30_HF,Death rate for heart failure patients,1,127,4,19,,07/01/2022,06/30/2025
PA,MORT_30_PN,Death rate for pneumonia patients,4,129,5,14,,07/01/2022,06/30/2025
PA,MORT_30_STK,Death rate for stroke patients,1,109,3,24,,07/01/2023,06/30/2025
PA,PSI_03,Pressure ulcer rate,8,128,3,5,,07/01/2022,06/30/2024
PA,PSI_04,Death rate among surgical inpatients with serious treatable complications,4,57,2,47,,07/01/2022,06/30/2024
PA,PSI_06,Iatrogenic pneumothorax rate,0,142,0,2,,07/01/2022,06/30/2024
PA,PSI_08,In-hospital fall-associated fracture rate,0,141,0,3,,07/01/2022,06/30/2024
PA,PSI_09,Postoperative hemorrhage or hematoma rate,0,128,0,9,,07/01/2022,06/30/2024
PA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,109,1,19,,07/01/2022,06/30/2024
PA,PSI_11,Postoperative respiratory failure rate,2,104,3,22,,07/01/2022,06/30/2024
PA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,126,1,9,,07/01/2022,06/30/2024
PA,PSI_13,Postoperative sepsis rate,2,107,0,19,,07/01/2022,06/30/2024
PA,PSI_14,Postoperative wound dehiscence rate,0,106,0,21,,07/01/2022,06/30/2024
PA,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,127,0,5,,07/01/2022,06/30/2024
PA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,6,122,3,Not Available,,07/01/2022,06/30/2024
PR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,29,1,10,,04/01/2023,03/31/2025
PR,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,45,3,0,4,,07/01/2024,06/30/2025
PR,MORT_30_AMI,Death rate for heart attack patients,0,7,0,34,,07/01/2022,06/30/2025
PR,MORT_30_CABG,Death rate for CABG surgery patients,0,0,0,8,,07/01/2022,06/30/2025
PR,MORT_30_COPD,Death rate for COPD patients,0,2,0,38,,07/01/2022,06/30/2025
PR,MORT_30_HF,Death rate for heart failure patients,0,4,0,40,,07/01/2022,06/30/2025
PR,MORT_30_PN,Death rate for pneumonia patients,0,11,0,39,,07/01/2022,06/30/2025
PR,MORT_30_STK,Death rate for stroke patients,12,26,0,9,,07/01/2023,06/30/2025
PR,PSI_03,Pressure ulcer rate,1,0,0,0,,07/01/2022,06/30/2024
PR,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_06,Iatrogenic pneumothorax rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_08,In-hospital fall-associated fracture rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_09,Postoperative hemorrhage or hematoma rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_11,Postoperative respiratory failure rate,1,0,0,0,,07/01/2022,06/30/2024
PR,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_13,Postoperative sepsis rate,1,0,0,0,,07/01/2022,06/30/2024
PR,PSI_14,Postoperative wound dehiscence rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,1,0,0,,07/01/2022,06/30/2024
PR,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,0,0,Not Available,,07/01/2022,06/30/2024
RI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,6,0,2,,04/01/2023,03/31/2025
RI,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,10,1,0,,07/01/2024,06/30/2025
RI,MORT_30_AMI,Death rate for heart attack patients,0,6,0,4,,07/01/2022,06/30/2025
RI,MORT_30_CABG,Death rate for CABG surgery patients,0,1,0,0,,07/01/2022,06/30/2025
RI,MORT_30_COPD,Death rate for COPD patients,0,10,0,0,,07/01/2022,06/30/2025
RI,MORT_30_HF,Death rate for heart failure patients,0,10,0,1,,07/01/2022,06/30/2025
RI,MORT_30_PN,Death rate for pneumonia patients,0,10,0,0,,07/01/2022,06/30/2025
RI,MORT_30_STK,Death rate for stroke patients,0,8,1,0,,07/01/2023,06/30/2025
RI,PSI_03,Pressure ulcer rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,2,0,8,,07/01/2022,06/30/2024
RI,PSI_06,Iatrogenic pneumothorax rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_08,In-hospital fall-associated fracture rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_09,Postoperative hemorrhage or hematoma rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,10,0,1,,07/01/2022,06/30/2024
RI,PSI_11,Postoperative respiratory failure rate,0,10,0,1,,07/01/2022,06/30/2024
RI,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_13,Postoperative sepsis rate,0,10,0,1,,07/01/2022,06/30/2024
RI,PSI_14,Postoperative wound dehiscence rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,11,0,0,,07/01/2022,06/30/2024
RI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,11,0,Not Available,,07/01/2022,06/30/2024
SC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,27,0,20,,04/01/2023,03/31/2025
SC,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3,46,8,0,,07/01/2024,06/30/2025
SC,MORT_30_AMI,Death rate for heart attack patients,0,28,0,27,,07/01/2022,06/30/2025
SC,MORT_30_CABG,Death rate for CABG surgery patients,0,15,0,3,,07/01/2022,06/30/2025
SC,MORT_30_COPD,Death rate for COPD patients,0,45,0,12,,07/01/2022,06/30/2025
SC,MORT_30_HF,Death rate for heart failure patients,1,49,0,8,,07/01/2022,06/30/2025
SC,MORT_30_PN,Death rate for pneumonia patients,1,54,0,4,,07/01/2022,06/30/2025
SC,MORT_30_STK,Death rate for stroke patients,0,47,0,5,,07/01/2023,06/30/2025
SC,PSI_03,Pressure ulcer rate,4,50,2,0,,07/01/2022,06/30/2024
SC,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,22,2,22,,07/01/2022,06/30/2024
SC,PSI_06,Iatrogenic pneumothorax rate,0,56,0,0,,07/01/2022,06/30/2024
SC,PSI_08,In-hospital fall-associated fracture rate,0,56,0,0,,07/01/2022,06/30/2024
SC,PSI_09,Postoperative hemorrhage or hematoma rate,0,50,1,3,,07/01/2022,06/30/2024
SC,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,42,0,8,,07/01/2022,06/30/2024
SC,PSI_11,Postoperative respiratory failure rate,1,42,0,8,,07/01/2022,06/30/2024
SC,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,50,0,3,,07/01/2022,06/30/2024
SC,PSI_13,Postoperative sepsis rate,0,42,0,8,,07/01/2022,06/30/2024
SC,PSI_14,Postoperative wound dehiscence rate,1,41,0,10,,07/01/2022,06/30/2024
SC,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,48,0,5,,07/01/2022,06/30/2024
SC,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,50,1,Not Available,,07/01/2022,06/30/2024
SD,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,11,0,6,,04/01/2023,03/31/2025
SD,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3,50,2,5,,07/01/2024,06/30/2025
SD,MORT_30_AMI,Death rate for heart attack patients,0,6,0,33,,07/01/2022,06/30/2025
SD,MORT_30_CABG,Death rate for CABG surgery patients,0,3,0,0,,07/01/2022,06/30/2025
SD,MORT_30_COPD,Death rate for COPD patients,0,12,0,42,,07/01/2022,06/30/2025
SD,MORT_30_HF,Death rate for heart failure patients,0,16,0,39,,07/01/2022,06/30/2025
SD,MORT_30_PN,Death rate for pneumonia patients,0,36,0,18,,07/01/2022,06/30/2025
SD,MORT_30_STK,Death rate for stroke patients,0,7,1,31,,07/01/2023,06/30/2025
SD,PSI_03,Pressure ulcer rate,1,17,0,1,,07/01/2022,06/30/2024
SD,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,5,0,8,,07/01/2022,06/30/2024
SD,PSI_06,Iatrogenic pneumothorax rate,0,18,0,1,,07/01/2022,06/30/2024
SD,PSI_08,In-hospital fall-associated fracture rate,0,18,0,1,,07/01/2022,06/30/2024
SD,PSI_09,Postoperative hemorrhage or hematoma rate,0,16,0,1,,07/01/2022,06/30/2024
SD,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,13,0,4,,07/01/2022,06/30/2024
SD,PSI_11,Postoperative respiratory failure rate,0,12,1,4,,07/01/2022,06/30/2024
SD,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,16,0,1,,07/01/2022,06/30/2024
SD,PSI_13,Postoperative sepsis rate,0,13,0,3,,07/01/2022,06/30/2024
SD,PSI_14,Postoperative wound dehiscence rate,0,13,0,4,,07/01/2022,06/30/2024
SD,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,16,0,2,,07/01/2022,06/30/2024
SD,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,15,1,Not Available,,07/01/2022,06/30/2024
TN,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,35,0,23,,04/01/2023,03/31/2025
TN,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,12,80,2,3,,07/01/2024,06/30/2025
TN,MORT_30_AMI,Death rate for heart attack patients,0,43,0,34,,07/01/2022,06/30/2025
TN,MORT_30_CABG,Death rate for CABG surgery patients,0,20,0,4,,07/01/2022,06/30/2025
TN,MORT_30_COPD,Death rate for COPD patients,0,64,0,29,,07/01/2022,06/30/2025
TN,MORT_30_HF,Death rate for heart failure patients,1,67,2,23,,07/01/2022,06/30/2025
TN,MORT_30_PN,Death rate for pneumonia patients,5,78,1,12,,07/01/2022,06/30/2025
TN,MORT_30_STK,Death rate for stroke patients,2,53,2,26,,07/01/2023,06/30/2025
TN,PSI_03,Pressure ulcer rate,4,78,1,0,,07/01/2022,06/30/2024
TN,PSI_04,Death rate among surgical inpatients with serious treatable complications,3,34,0,26,,07/01/2022,06/30/2024
TN,PSI_06,Iatrogenic pneumothorax rate,0,83,0,0,,07/01/2022,06/30/2024
TN,PSI_08,In-hospital fall-associated fracture rate,2,81,0,0,,07/01/2022,06/30/2024
TN,PSI_09,Postoperative hemorrhage or hematoma rate,1,68,0,6,,07/01/2022,06/30/2024
TN,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,52,0,16,,07/01/2022,06/30/2024
TN,PSI_11,Postoperative respiratory failure rate,2,52,0,18,,07/01/2022,06/30/2024
TN,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,69,0,6,,07/01/2022,06/30/2024
TN,PSI_13,Postoperative sepsis rate,1,49,0,19,,07/01/2022,06/30/2024
TN,PSI_14,Postoperative wound dehiscence rate,0,57,0,12,,07/01/2022,06/30/2024
TN,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,68,0,7,,07/01/2022,06/30/2024
TN,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2,71,1,Not Available,,07/01/2022,06/30/2024
TX,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,114,0,126,,04/01/2023,03/31/2025
TX,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,15,293,23,47,,07/01/2024,06/30/2025
TX,MORT_30_AMI,Death rate for heart attack patients,0,153,0,116,,07/01/2022,06/30/2025
TX,MORT_30_CABG,Death rate for CABG surgery patients,0,79,0,29,,07/01/2022,06/30/2025
TX,MORT_30_COPD,Death rate for COPD patients,0,165,0,179,,07/01/2022,06/30/2025
TX,MORT_30_HF,Death rate for heart failure patients,1,199,11,135,,07/01/2022,06/30/2025
TX,MORT_30_PN,Death rate for pneumonia patients,0,253,12,93,,07/01/2022,06/30/2025
TX,MORT_30_STK,Death rate for stroke patients,2,149,13,104,,07/01/2023,06/30/2025
TX,PSI_03,Pressure ulcer rate,4,257,8,20,,07/01/2022,06/30/2024
